use,scopus_ok,slot,year,journal,publisher,citations,title,authors,volume,issue,pages,doi,query
Y,Y,imbalance,2020,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE,0,Focal Loss for Dense Object Detection,"Lin, Tsung-Yi; Goyal, Priya; Girshick, Ross; He, Kaiming; Dollar, Piotr",42,2,318-327,10.1109/tpami.2018.2858826,MANUAL
Y,Y,evaluation,2015,PLOS ONE,PLOS,0,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets,"Saito, Takaya; Rehmsmeier, Marc",10,3,e0118432,10.1371/journal.pone.0118432,MANUAL
Y,Y,training,2012,Neural Networks: Tricks of the Trade (LNCS 7700),Springer,0,Early Stopping - But When?,"Prechelt, Lutz",7700,,53-67,10.1007/978-3-642-35289-8_5,MANUAL
Y,N,self-citation,2026,Zenodo preprint,Zenodo,0,The Metric Determines the Conclusion (prior work),Author,,,,10.5281/zenodo.21839073,MANUAL
Y,Y,base-paper,2025,Sensors,MDPI,0,Intelligent Intrusion Detection System Against Various Attacks Based on a Hybrid Deep Learning Algorithm,"Susilo, Bambang; Muis, Abdul; Sari, Riri Fitri",25,2,580,10.3390/s25020580,MANUAL
Y,Y,dataset,2023,Sensors,MDPI,0,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,"Neto, Euclides Carlos Pinto; Dadkhah, Sajjad; Ferreira, Raphael; Zohourian, Alireza; Lu, Rongxing; Ghorbani, Ali A.",23,13,5941,10.3390/s23135941,MANUAL
Y,Y,imbalance,2002,Journal of Artificial Intelligence Research,AI Access Foundation,0,SMOTE: Synthetic Minority Over-sampling Technique,"Chawla, N. V.; Bowyer, K. W.; Hall, L. O.; Kegelmeyer, W. P.",16,,321-357,10.1613/jair.953,MANUAL
Y,Y,evaluation,2020,BMC Genomics,Springer,0,The advantages of the MCC over F1 score and accuracy in binary classification evaluation,"Chicco, Davide; Jurman, Giuseppe",21,1,6,10.1186/s12864-019-6413-7,MANUAL
Y,Y,imbalance,2019,Information Sciences,Elsevier,0,A Comprehensive Analysis of SMOTE for handling class imbalance,"Elreedy, Dina; Atiya, Amir F.",505,,32-64,10.1016/j.ins.2019.07.070,MANUAL
Y,Y,related-work,2024,Sensors,MDPI AG,136,Machine Learning and Deep Learning Techniques for Internet of Things Network Anomaly Detection—Current Research Trends,"Rafique, Saida Hafsa; Abdallah, Amira; Musa, Nura Shifa; Murugan, Thangavel",24.0,6.0,1968,10.3390/s24061968,network anomaly detection deep learning benchmark
