class,strategy,target_recall,precision,threshold,est_false_alarms
BruteForce,CrossEntropy,0.3,0.1047,0.0718,605
BruteForce,CrossEntropy,0.5,0.0579,0.0451,1921
BruteForce,CrossEntropy,0.7,0.035,0.0271,4557
BruteForce,CrossEntropy,0.9,0.0271,0.0153,7627
BruteForce,SMOTE,0.3,0.0838,0.696,774
BruteForce,SMOTE,0.5,0.0523,0.488,2140
BruteForce,SMOTE,0.7,0.0331,0.2483,4822
BruteForce,SMOTE,0.9,0.0233,0.0764,8920
BruteForce,Focal,0.3,0.1046,0.4583,606
BruteForce,Focal,0.5,0.0606,0.3509,1828
BruteForce,Focal,0.7,0.0425,0.2708,3723
BruteForce,Focal,0.9,0.027,0.1674,7654
Web,CrossEntropy,0.3,0.1403,0.1017,825
Web,CrossEntropy,0.5,0.1042,0.0704,1931
Web,CrossEntropy,0.7,0.0742,0.046,3921
Web,CrossEntropy,0.9,0.0483,0.0221,7961
Web,SMOTE,0.3,0.1458,0.5657,789
Web,SMOTE,0.5,0.1019,0.3849,1978
Web,SMOTE,0.7,0.0738,0.2179,3946
Web,SMOTE,0.9,0.0493,0.0672,7788
Web,Focal,0.3,0.139,0.4454,834
Web,Focal,0.5,0.0963,0.3388,2107
Web,Focal,0.7,0.074,0.262,3935
Web,Focal,0.9,0.0497,0.1535,7730
